index,filename,timestamp_seconds,segment_index,segment_start,segment_end,segment_text,visual_group,is_representative,representative_filename,group_size,group_start_seconds,group_end_seconds
0,frame_000001.jpg,0.0,0,0.0,2.6,Do you hear me better now?,0,True,frame_000001.jpg,94,0.0,232.5
1,frame_000095.jpg,2.5,0,0.0,2.6,Do you hear me better now?,1,True,frame_000095.jpg,1,235.0,235.0
2,frame_000096.jpg,5.0,2,4.2,9.12,"Perfect, apologies, my AirPods weren't connected.",2,True,frame_000096.jpg,2,237.5,240.0
3,frame_000098.jpg,7.5,2,4.2,9.12,"Perfect, apologies, my AirPods weren't connected.",3,True,frame_000098.jpg,1,242.5,242.5
4,frame_000099.jpg,10.0,3,9.12,10.12,Nice to meet you finally.,4,True,frame_000099.jpg,12,245.0,272.5
5,frame_000111.jpg,12.5,4,10.12,13.12,"Yeah, nice to meet you too.",5,True,frame_000111.jpg,3,275.0,280.0
6,frame_000114.jpg,15.0,5,13.12,15.12,How are you?,6,True,frame_000114.jpg,15,282.5,317.5
7,frame_000129.jpg,17.5,7,16.92,17.92,Very good.,7,True,frame_000129.jpg,1,320.0,320.0
8,frame_000130.jpg,20.0,8,17.92,20.64,Working today as usual.,8,True,frame_000130.jpg,35,322.5,407.5
9,frame_000165.jpg,22.5,10,21.64,23.24,Are you all good here?,9,True,frame_000165.jpg,1,410.0,410.0
10,frame_000166.jpg,25.0,11,23.24,25.12,"All good, working as usual as well.",10,True,frame_000166.jpg,63,412.5,567.5
11,frame_000229.jpg,27.5,12,25.12,29.96,Are you alone in your team or do you have more partners or maybe I'm playing with you?,11,True,frame_000229.jpg,6,570.0,582.5
12,frame_000235.jpg,30.0,13,29.96,31.88,Do you have employees that are working with you?,12,True,frame_000235.jpg,23,585.0,640.0
13,frame_000258.jpg,32.5,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,13,True,frame_000258.jpg,1,642.5,642.5
14,frame_000259.jpg,35.0,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,14,True,frame_000259.jpg,5,645.0,655.0
15,frame_000264.jpg,37.5,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,15,True,frame_000264.jpg,2,657.5,660.0
16,frame_000266.jpg,40.0,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,16,True,frame_000266.jpg,2,662.5,665.0
17,frame_000268.jpg,42.5,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,17,True,frame_000268.jpg,30,667.5,740.0
18,frame_000298.jpg,45.0,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,18,True,frame_000298.jpg,15,742.5,777.5
19,frame_000313.jpg,47.5,14,31.88,49.28,I'm alone because I'm the owner of the team and I have partners who want to see your functional.,19,True,frame_000313.jpg,1,780.0,780.0
20,frame_000314.jpg,50.0,15,49.28,55.4,Partners want to build their own network.,20,True,frame_000314.jpg,1,782.5,782.5
